№ п/п,Дата,Время,"Мощность, МВт",Температура воздуха (градусы Цельсия) на высоте 2 метра над поверхностью земли,Атмосферное давление на уровне станции (миллиметры ртутного столба),"Атмосферное давление, приведенное к среднему уровню моря (миллиметры ртутного столба) ",Относительная влажность (%) на высоте 2 метра над поверхностью земли,"Направление ветра (румбы) на высоте 10-12 метров над земной поверхностью, осредненное за 10-минутный период , непосредственно предшествовавший сроку наблюдения ","Скорость ветра на высоте 10-12 метров над земной поверхностью, осредненное за 10-минутный период , непосредственно предшествовавший сроку наблюдения (метры в секунду) ",Общая облачность,"Текущая погода, сообщаемая с метеорологической станции ",Прошедшая погода между сроками наблюдения 1,Прошедшая погода между сроками наблюдения 2,"Слоисто-кучевые, слоитсые, кучевые и кучево-дождевые облака","Количество всех наблюдающихся облаков Cl или, при отсутствии облаков Cl, количество всех наблюдащихся облаков Cm",Высота основания самых низких облаков (м),"Высококучевые, высокослоистые и слоисто-дождевые облака","Перистые, перисто-кучевые и перисто-слоистые облака",Горизонтальная дальность видимости (км),,,,,,,,,,,,,,,,,,,,,,,,,
1748,29/11/19 10:00,10:00,0.990055556,-0.3,765.7,766.2,94,112.5,3,100%.,Дымка. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высокослоистые просвечивающие.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1749,29/11/19 13:00,13:00,0.503444444,1.4,764.7,765.2,85,90,2,100%., ,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",20–30%.,300-600,Высокослоистые просвечивающие.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1750,29/11/19 16:00,16:00,0.010555556,2.3,764.2,764.7,81,90,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высокослоистые непросвечивающие или слоисто-дождевые.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1751,29/11/19 19:00,19:00,0,2.1,763.9,764.5,91,90,3,100%.,Дождь незамерзающий непрерывный слабый в срок наблюдения. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высокослоистые непросвечивающие или слоисто-дождевые.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1752,29/11/19 22:00,22:00,0,2.0,763.3,763.8,87,90,4,100%.,Дымка. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1753,30/11/19 1:00,1:00,0,1.2,762.5,763.0,94,90,3,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1754,30/11/19 4:00,4:00,0,0.8,761.5,762.0,98,90,4,100%.,Морось незамерзающая непрерывная слабая в срок наблюдения. ,Морось.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,200-300,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1755,30/11/19 7:00,7:00,0.2255,0.3,760.7,761.2,96,90,4,100%.,Морось (незамерзающая) или снежные зерна неливневые. ,Морось.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,300-600,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1756,30/11/19 10:00,10:00,1.618166667,0.4,760.3,760.9,93,90,3,100%.,Дымка. ,Морось.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",70 – 80%.,300-600,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1757,30/11/19 13:00,13:00,0.930611111,2.6,759.0,759.5,84,90,3,100%., ,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1758,30/11/19 16:00,16:00,0.018777778,3.7,757.8,758.3,81,90,3,100%., ,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",40%.,300-600,Высокослоистые непросвечивающие или слоисто-дождевые.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1759,30/11/19 19:00,19:00,0,3.3,757.3,757.9,93,112.5,4,100%.,Дождь незамерзающий непрерывный слабый в срок наблюдения. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высокослоистые просвечивающие.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1760,30/11/19 22:00,22:00,0,4.7,755.6,756.1,95,112.5,5,100%.,Дождь незамерзающий непрерывный слабый в срок наблюдения. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высокослоистые просвечивающие.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1761,01/12/19 1:00,1:00,0,6.9,753.6,754.1,97,157.5,5,100%.,Дождь незамерзающий непрерывный слабый в срок наблюдения. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высокослоистые просвечивающие.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1762,01/12/19 4:00,4:00,0,7.3,753.1,753.6,96,225,10,100%.,Дождь незамерзающий непрерывный слабый в срок наблюдения. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высокослоистые просвечивающие.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1763,01/12/19 7:00,7:00,0.037833333,6.0,755.1,755.6,95,247.5,5,100%.,Дымка. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1764,01/12/19 10:00,10:00,0.928333333,5.4,757.4,757.9,95,247.5,5,100%.,Дождь (незамерзающий) неливневый. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1765,01/12/19 13:00,13:00,2.951333333,6.8,757.6,758.1,76,270,4,100%., ,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",50%.,600-1000,Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1766,01/12/19 16:00,16:00,0.048611111,6.6,757.7,758.2,64,315,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",60%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1767,01/12/19 19:00,19:00,0,3.3,760.0,760.6,80,315,2,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1768,01/12/19 22:00,22:00,0,3.0,760.3,760.9,84,292.5,4,100%.,Дождь незамерзающий непрерывный слабый в срок наблюдения. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высокослоистые непросвечивающие или слоисто-дождевые.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1769,02/12/19 1:00,1:00,0,0.5,761.8,762.3,92,315,2,100%.,Дымка. ,Снег или дождь со снегом.,Дождь.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1770,02/12/19 4:00,4:00,0,1.2,763.1,763.6,91,315,4,100%.,Дымка. ,Снег или дождь со снегом.,Дождь.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1771,02/12/19 7:00,7:00,0.172277778,0.4,765.0,765.5,82,315,4,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1772,02/12/19 10:00,10:00,2.029388889,-1.2,767.2,767.7,85,225,2,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1773,02/12/19 13:00,13:00,3.254888889,0.0,768.7,769.3,76,315,4,20–30%., ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1774,02/12/19 16:00,16:00,0.271777778,-0.3,769.6,770.2,67,292.5,4,"10%  или менее, но не 0", ,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","10%  или менее, но не 0",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1775,02/12/19 19:00,19:00,0,-3.0,770.6,771.1,82,270,1,"10%  или менее, но не 0", ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1776,02/12/19 22:00,22:00,0,-5.5,770.9,771.4,95,225,2,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1777,03/12/19 1:00,1:00,0,-7.3,770.8,771.3,98,225,2,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1778,03/12/19 4:00,4:00,0,-7.3,770.1,770.6,97,202.5,1,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1779,03/12/19 7:00,7:00,0.236833333,-5.0,769.0,769.6,96,112.5,2,20–30%.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",20–30%.,300-600,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1780,03/12/19 10:00,10:00,1.843388889,-3.4,768.1,768.7,92,135,3,100%.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1781,03/12/19 13:00,13:00,1.100333333,-2.7,766.1,766.7,86,157.5,4,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1782,03/12/19 16:00,16:00,0.040888889,-2.2,763.8,764.3,90,135,5,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1783,03/12/19 19:00,19:00,0,-1.6,761.9,762.4,91,135,7,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1784,03/12/19 22:00,22:00,0,-1.3,760.7,761.2,99,157.5,6,100%.,Снег непрерывный слабый в срок наблюдения. ,Снег или дождь со снегом.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высокослоистые просвечивающие.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1785,04/12/19 1:00,1:00,0,-0.6,760.3,760.9,98,180,6,100%.,Снег непрерывный слабый в срок наблюдения. ,Снег или дождь со снегом.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высокослоистые просвечивающие.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1786,04/12/19 4:00,4:00,0,-0.5,760.8,761.3,88,247.5,4,100%.,Состояние неба в общем не изменилось. ,Снег или дождь со снегом.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1787,04/12/19 7:00,7:00,0.101611111,-4.4,761.6,762.1,92,225,4,20–30%.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.","Перистых, перисто-кучевых или перисто-слоистых нет.",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1788,04/12/19 10:00,10:00,3.583055556,-3.1,763.0,763.6,92,225,5,100%.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1789,04/12/19 13:00,13:00,5.79,-1.3,763.6,764.2,77,247.5,5,20–30%., ,,,"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.",20–30%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1790,04/12/19 16:00,16:00,0.070333333,-1.6,764.6,765.1,81,270,4,100%., ,,,"Слоисто-кучевые, образовавшиеся из кучевых.",40%.,600-1000,"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1791,04/12/19 19:00,19:00,0,-3.3,766.6,767.2,90,247.5,3,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1792,04/12/19 22:00,22:00,0,-5.6,768.0,768.5,91,247.5,4,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1793,05/12/19 1:00,1:00,0,-4.2,768.6,769.1,83,247.5,5,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1794,05/12/19 4:00,4:00,0,-3.3,768.6,769.1,80,247.5,5,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1795,05/12/19 7:00,7:00,0.433888889,-4.8,768.1,768.7,89,225,4,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1796,05/12/19 10:00,10:00,7.950111111,-5.0,768.4,768.9,91,202.5,5,40%.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1797,05/12/19 13:00,13:00,5.991055556,-0.9,767.6,768.1,72,225,8,70 – 80%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1798,05/12/19 16:00,16:00,0.085666667,-0.7,767.3,767.8,80,225,7,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1799,05/12/19 19:00,19:00,0,-1.4,767.8,768.4,96,225,8,100%.,Замерзающая морось или замерзающий дождь неливневые.  Диаметр отложения при гололеде составляет 1 мм.,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",100%.,"2500 или более, или облаков нет.",Высокослоистые непросвечивающие или слоисто-дождевые.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1800,05/12/19 22:00,22:00,0,-1.0,768.3,768.8,97,225,5,100%.,Дымка. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевые, образовавшиеся из кучевых.",20–30%.,600-1000,"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1801,06/12/19 1:00,1:00,0,-0.9,768.8,769.3,98,225,4,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1802,06/12/19 4:00,4:00,0,-0.7,769.0,769.6,99,225,4,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1803,06/12/19 7:00,7:00,0.148222222,-0.1,768.7,769.3,100,202.5,4,100%.,Снег непрерывный слабый в срок наблюдения. ,Снег или дождь со снегом.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",70 – 80%.,300-600,Высокослоистые непросвечивающие или слоисто-дождевые.,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1804,06/12/19 10:00,10:00,0.800666667,0.6,768.8,769.3,100,202.5,5,100%.,Дымка. ,Снег или дождь со снегом.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,200-300,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1805,06/12/19 13:00,13:00,0.487,0.6,768.8,769.3,100,202.5,5,100%.,Дымка. ,Снег или дождь со снегом.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,200-300,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1806,06/12/19 16:00,16:00,0.007,0.9,768.4,768.9,100,225,5,100%.,Морось (незамерзающая) или снежные зерна неливневые. ,Снег или дождь со снегом.,Морось.,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,100-200,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1807,06/12/19 19:00,19:00,0,0.5,768.8,769.3,96,225,5,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,300-600,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1808,06/12/19 22:00,22:00,0,0.0,768.7,769.3,98,225,3,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,200-300,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1809,07/12/19 1:00,1:00,0,-0.4,768.9,769.4,100,225,5,Небо не видно из-за тумана и/или других метеорологических явлений.,"Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ",Туман или ледяной туман или сильная мгла.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
1810,07/12/19 4:00,4:00,0,0.9,766.3,766.8,94,90,2,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1811,07/12/19 7:00,7:00,0.830388889,-2.0,768.4,769.0,96,202.5,3,20–30%.,Дымка. ,Туман или ледяной туман или сильная мгла.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.",Высококучевые башенкообразные или хлопьевидные.,"Перистых, перисто-кучевых или перисто-слоистых нет.",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1812,07/12/19 10:00,10:00,7.657666667,-0.2,768.8,769.3,98,225,3,"10%  или менее, но не 0",Дымка.  Диаметр отложения при гололеде составляет 1 мм.,Туман или ледяной туман или сильная мгла.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.","Перистых, перисто-кучевых или перисто-слоистых нет.",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
